ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
627694598,Photo,Red-headed Quelea,Quelea erythrops,,Jens Thalund,2012-11-01,2012,11,1,630,Ethiopia,ET-GA,Gambela Peoples,,Gambela (town),8.2484195,34.5874500,"",,Unspecified,"","",,,,,,,S20684505,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,987,1250
627694597,Photo,Red-headed Quelea,Quelea erythrops,,Jens Thalund,2012-11-01,2012,11,1,630,Ethiopia,ET-GA,Gambela Peoples,,Gambela (town),8.2484195,34.5874500,"",,Unspecified,"","",,,,,,,S20684505,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,993,1250
627686905,Photo,Red-headed Quelea,Quelea erythrops,,Michael Plaster,2024-12-01,2024,12,1,1120,South Africa,ZA-NL,Kwazulu-Natal,,Emoyeni Grassland,-29.0005845,31.6638154,Adult Male – 1,"",Unspecified,"","",,,,,,,S204187864,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,1,Habitat,1014,1520
627565020,Photo,Red-headed Quelea,Quelea erythrops,,Donald Wellmann,2024-11-15,2024,11,15,1630,Ghana,GH-EP,Eastern,,Atewa--farm scrub and degraded forest,6.2293104,-0.5271194,"",,Unspecified,"","",,,,,,,S205528153,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,2218,3116
627495283,Photo,Red-headed Quelea,Quelea erythrops,,Bradley Hacker 🦜,2024-12-09,2024,12,9,859,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S204912736,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,2,,921,1381
627495282,Photo,Red-headed Quelea,Quelea erythrops,,Bradley Hacker 🦜,2024-12-09,2024,12,9,859,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S204912736,"",,,,,Quelea erythrops,rehque1,Species,30647,,4.00,1,,805,1207
627495281,Photo,Red-headed Quelea,Quelea erythrops,,Bradley Hacker 🦜,2024-12-09,2024,12,9,859,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S204912736,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,1,,829,1244
627495284,Photo,Red-headed Quelea,Quelea erythrops,,Bradley Hacker 🦜,2024-12-09,2024,12,9,859,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S204912736,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,1,,839,1259
627347939,Photo,Red-headed Quelea,Quelea erythrops,,Hans Nicolai,2016-11-23,2016,11,23,600,Ghana,GH-WP,Western,,Nsuta Forest,5.2990398,-1.6440673,"",,Unspecified,"","",,,,,,,S204825791,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,1117,1676
626821291,Photo,Red-headed Quelea,Quelea erythrops,,Dermot Breen,2024-11-18,2024,11,18,1148,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S202929805,"",,,,Building nests in reedbed.,Quelea erythrops,rehque1,Species,30647,,.00,0,,3060,4080
626821290,Photo,Red-headed Quelea,Quelea erythrops,,Dermot Breen,2024-11-18,2024,11,18,1148,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S202929805,"",,,,Building nests in reedbed.,Quelea erythrops,rehque1,Species,30647,,.00,0,,2079,2772
626202997,Photo,Red-headed Quelea,Quelea erythrops,,Fikret Ataşalan,2024-11-03,2024,11,3,1140,Tanzania,TZ-24,Tabora,,Kisanga Village,-5.5447088,33.2627677,"",,Unspecified,"","",,,,,,,S201359696,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,2230,3345
626027431,Photo,Red-headed Quelea,Quelea erythrops,,Julien Birard,2024-03-31,2024,3,31,1638,Congo,CG-7,Likouala,,"Epéna zone nord, Likouala, CG (1,356, 17,455)",1.3564438,17.4548640,"",,Unspecified,"","",,,,,,,S166799928,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,1,,2602,3951
625490999,Photo,Red-headed Quelea,Quelea erythrops,,Jimmy Kirby,2024-10-26,2024,10,26,1747,South Africa,ZA-NL,Kwazulu-Natal,,Fairbreeze--Tronox Ponds (restricted access),-29.0053834,31.6525485,"",,Unspecified,"","",,,,,,,S200330816,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,1365,2048
624772518,Photo,Red-headed Quelea,Quelea erythrops,,Richard Edden,2024-09-27,2024,9,27,1012,Ghana,GH-NP,Northern,,"Damongo - Sawla Road, West Gonja GH-Savannah 9.16319, -1.44972",9.1631920,-1.4497200,"",,Unspecified,"","",,,,,,,S196600894,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,829,553
623336920,Photo,Red-headed Quelea,Quelea erythrops,,Anne Heyerly,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"","",Unspecified,"","",,,,,,,S187020329,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.50,2,Habitat,3359,4715
623336919,Photo,Red-headed Quelea,Quelea erythrops,,Anne Heyerly,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"",,Unspecified,"","",,,,,,,S187020329,"",,,,,Quelea erythrops,rehque1,Species,30647,,2.00,1,,1059,1453
623336918,Photo,Red-headed Quelea,Quelea erythrops,,Anne Heyerly,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"",,Unspecified,"","",,,,,,,S187020329,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,1322,1994
623336917,Photo,Red-headed Quelea,Quelea erythrops,,Anne Heyerly,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"",,Unspecified,"","",,,,,,,S187020329,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,1,,842,1146
623111919,Photo,Red-headed Quelea,Quelea erythrops,,Robert Rodrigues,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"",,Unspecified,"","",,,,,,,S187020328,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,900,1391
622562611,Photo,Red-headed Quelea,Quelea erythrops,,Eileen Gibney,2023-09-01,2023,9,1,644,Uganda,UG-W,Western,,Budongo Forest Reserve,1.7313191,31.5822601,"",,Unspecified,"","",,,,,,,S148685139,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,1581,2372
622541813,Photo,Red-headed Quelea,Quelea erythrops,,Neil Osborne,2017-11-19,2017,11,19,0,Ghana,GH-EP,Eastern,,"Atewa--Bunso road, scrub, and degraded forest",6.2821400,-0.4861594,"",,Unspecified,"","",,,,,,,S191535760,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,2335,3502
622384407,Photo,Red-headed Quelea,Quelea erythrops,,Steve Popple,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"Adult – 4; Immature – 4",,Unspecified,"","",,,,,,,S187020332,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,933,1400
622384406,Photo,Red-headed Quelea,Quelea erythrops,,Steve Popple,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"Adult – 5; Immature – 3",,Unspecified,"","",,,,,,,S187020332,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,933,1400
622314971,Photo,Red-headed Quelea,Quelea erythrops,,Carol Popple,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"",,Unspecified,"","",,,,,,,S187020327,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,933,1400
622252862,Photo,Red-headed Quelea,Quelea erythrops,,Robert Lockett,2024-07-14,2024,7,14,809,Uganda,UG-W,Western,,Murchison Falls NP--Boat trip Paraa to Murchison Falls,2.2737674,31.6184006,"",,Unspecified,"","",,,,,,,S187066300,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,3002,4798
621375545,Photo,Red-headed Quelea,Quelea erythrops,,Simon  Allen,2024-07-10,2024,7,10,1550,Kenya,KE-300,Coast,,Lake Jilore,-3.1970576,39.9005950,"",,Unspecified,"","",,,,,,,S186358356,"",,,,female plumaged bird photographed with a flock of bishops and weavers,Quelea erythrops,rehque1,Species,30647,,4.00,2,,787,835
621027820,Photo,Red-headed Quelea,Quelea erythrops,,Peter Hinow,2024-06-20,2024,6,20,1328,South Africa,ZA-NL,Kwazulu-Natal,,Scottburgh,-30.2873420,30.7587499,"",,Unspecified,"","",,,,,,,S182634734,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,1365,2048
620717754,Photo,Red-headed Quelea,Quelea erythrops,,bob butler,2024-06-02,2024,6,2,645,Uganda,UG-N,Northern,,Murchison Falls NP--Pakuba,2.3337603,31.4664316,"Adult Female – 1; Adult Male – 3",,Unspecified,"","",,,,,,,S180415361,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,1855,2469
620717707,Photo,Red-headed Quelea,Quelea erythrops,Quelea quelea -- Red-billed Quelea,bob butler,2024-06-02,2024,6,2,645,Uganda,UG-N,Northern,,Murchison Falls NP--Pakuba,2.3337603,31.4664316,"Adult Female – 1; Adult Male – 3",,Unspecified,"","",,,,,,,S180415361,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,1984,2644
620717706,Photo,Red-headed Quelea,Quelea erythrops,,bob butler,2024-06-02,2024,6,2,645,Uganda,UG-N,Northern,,Murchison Falls NP--Pakuba,2.3337603,31.4664316,"Adult Female – 2; Adult Male – 1",,Unspecified,"","",,,,,,,S180415361,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,1783,2379
620717705,Photo,Red-headed Quelea,Quelea erythrops,Quelea quelea -- Red-billed Quelea,bob butler,2024-06-02,2024,6,2,645,Uganda,UG-N,Northern,,Murchison Falls NP--Pakuba,2.3337603,31.4664316,Adult Male – 1,,Unspecified,"","",,,,,,,S180415361,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,914,1225
620075827,Photo,Red-headed Quelea,Quelea erythrops,,Jonathan Onongo,2024-05-29,2024,5,29,754,Uganda,UG-W,Western,,"Kabango, Bujenje UG-Western (1.6803,31.5866)",1.6802840,31.5865810,"",,Unspecified,"","",,,,,,,S179205467,"",,,,,Quelea erythrops,rehque1,Species,30647,,2.00,1,,3456,4608
617468980,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,2.00,1,,1072,1340
617468979,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,3.00,1,,991,1239
617468977,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,1.00,1,,1010,1263
617468976,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,3.00,1,,1011,1264
617468975,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,5.00,1,,864,1080
617468973,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,837,1047
617468967,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,612,490
617468969,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,750,600
617468972,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,774,968
617468968,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,794,635
617468971,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,797,997
617468974,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,770,963
617468970,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,752,602
617468966,Photo,Red-headed Quelea,Quelea erythrops,,Cameron Blair,2017-08-05,2017,8,5,1308,South Africa,ZA-LP,Limpopo,,Raptors View Wildlife Estate,-24.3634268,30.9541656,"",,Unspecified,"","",,,,,,,S168883460,"",,,,"As far as I am aware, first and only record from Limpopo for this species. Similar in size to Red-billed Quelea with a deeper bill base and yellow wash to the face and breast. Single individual among large numbers of RB Quelea. See attached photos.",Quelea erythrops,rehque1,Species,30647,,.00,0,,676,541
616452115,Photo,Red-headed Quelea,Quelea erythrops,,Nick Moore,2024-03-07,2024,3,7,728,Ghana,GH-NP,Northern,,Mole Airstrip,9.2400160,-1.8333435,"",,Unspecified,"","",,,,,,,S163946982,"",,,,,Quelea erythrops,rehque1,Species,30647,,2.00,1,,349,524
615681591,Photo,Red-headed Quelea,Quelea erythrops,,Fikret Ataşalan,2024-01-12,2024,1,12,630,Tanzania,TZ-24,Tabora,,Tabora Igombe Dam,-4.8571538,32.7455048,"",,Unspecified,"","",,,,,,,S158754966,"",,,,,Quelea erythrops,rehque1,Species,30647,,2.00,1,,1114,1671
615545594,Photo,Red-headed Quelea,Quelea erythrops,,Peter Alfrey,2019-07-02,2019,7,2,1520,Uganda,UG-C,Central,,Luwero Swamp,1.0119760,32.4694090,"",,Unspecified,"","",,,,,,,S58322254,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.00,1,,551,843
615074119,Photo,Red-headed Quelea,Quelea erythrops,,Audrey Whitlock,2023-11-01,2023,11,1,911,South Africa,ZA-NL,Kwazulu-Natal,,"Umhlanga Rocks/uMhlanga NR, Umhlanga ZA-KZN (-29.7147,31.0937)",-29.7146740,31.0936710,"",,Unspecified,"","",,,,,,,S153515185,"",,,,,Quelea erythrops,rehque1,Species,30647,,4.00,2,,1223,1835
615074111,Photo,Red-headed Quelea,Quelea erythrops,,Audrey Whitlock,2023-11-01,2023,11,1,911,South Africa,ZA-NL,Kwazulu-Natal,,"Umhlanga Rocks/uMhlanga NR, Umhlanga ZA-KZN (-29.7147,31.0937)",-29.7146740,31.0936710,"",,Unspecified,"","",,,,,,,S153515185,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.50,2,,1896,2844
615074109,Photo,Red-headed Quelea,Quelea erythrops,,Audrey Whitlock,2023-11-01,2023,11,1,911,South Africa,ZA-NL,Kwazulu-Natal,,"Umhlanga Rocks/uMhlanga NR, Umhlanga ZA-KZN (-29.7147,31.0937)",-29.7146740,31.0936710,"",,Unspecified,"","",,,,,,,S153515185,"",,,,,Quelea erythrops,rehque1,Species,30647,,4.00,2,,1793,2690
614977566,Photo,Red-headed Quelea,Quelea erythrops,,Daniel Blok 🦤,2024-02-18,2024,2,18,608,Tanzania,TZ-11,Zanzibar South,,Mapopwe Ricefields Area (IBA TZ057),-6.2210634,39.3650158,"",,Unspecified,"","",,,,,,,S161947227,"",,,,flock foraging mixed with Grosbeak Weaver,Quelea erythrops,rehque1,Species,30647,,2.00,1,,3648,5472
614977565,Photo,Red-headed Quelea,Quelea erythrops,,Daniel Blok 🦤,2024-02-18,2024,2,18,608,Tanzania,TZ-11,Zanzibar South,,Mapopwe Ricefields Area (IBA TZ057),-6.2210634,39.3650158,"",,Unspecified,"","",,,,,,,S161947227,"",,,,flock foraging mixed with Grosbeak Weaver,Quelea erythrops,rehque1,Species,30647,,2.00,1,,1656,2483
614977564,Photo,Red-headed Quelea,Quelea erythrops,,Daniel Blok 🦤,2024-02-18,2024,2,18,608,Tanzania,TZ-11,Zanzibar South,,Mapopwe Ricefields Area (IBA TZ057),-6.2210634,39.3650158,"",,Unspecified,"","",,,,,,,S161947227,"",,,,flock foraging mixed with Grosbeak Weaver,Quelea erythrops,rehque1,Species,30647,,3.00,1,,942,1413
614974880,Photo,Red-headed Quelea,Quelea erythrops,Amblyospiza albifrons -- Grosbeak Weaver,Daniel Blok 🦤,2024-02-18,2024,2,18,608,Tanzania,TZ-11,Zanzibar South,,Mapopwe Ricefields Area (IBA TZ057),-6.2210634,39.3650158,"Adult Female – 3; Adult Male – 3",Foraging or Eating,Unspecified,"","",,,,,,,S161947227,"",,,,flock foraging mixed with Grosbeak Weaver,Quelea erythrops,rehque1,Species,30647,,3.00,1,"",1848,2772
614925987,Photo,Red-headed Quelea,Quelea erythrops,,Dinesh Kumar,2024-02-06,2024,2,6,900,Rwanda,RW-02,Est,,Prodev Kayonza farm,-1.9691696,30.7072865,"",,Unspecified,"","",,,,,,,S161632367,"",,,,,Quelea erythrops,rehque1,Species,30647,,4.00,2,,1480,987
614432675,Photo,Red-headed Quelea,Quelea erythrops,,Wim Jacobs,2024-01-27,2024,1,27,637,Benin,BJ-AK,Atakora,,Ottomari valley,10.2020238,1.2019000,"",,Unspecified,"","",,,,,,,S160001902,"",,,,,Quelea erythrops,rehque1,Species,30647,,3.50,2,,3000,4000
614432676,Photo,Red-headed Quelea,Quelea erythrops,,Wim Jacobs,2024-01-27,2024,1,27,637,Benin,BJ-AK,Atakora,,Ottomari valley,10.2020238,1.2019000,"",,Unspecified,"","",,,,,,,S160001902,"",,,,,Quelea erythrops,rehque1,Species,30647,,2.00,1,,3000,4000
614432673,Photo,Red-headed Quelea,Quelea erythrops,,Wim Jacobs,2024-01-27,2024,1,27,637,Benin,BJ-AK,Atakora,,Ottomari valley,10.2020238,1.2019000,"",,Unspecified,"","",,,,,,,S160001902,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,3000,4000
614432674,Photo,Red-headed Quelea,Quelea erythrops,,Wim Jacobs,2024-01-27,2024,1,27,637,Benin,BJ-AK,Atakora,,Ottomari valley,10.2020238,1.2019000,"",,Unspecified,"","",,,,,,,S160001902,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,3000,4000
614432671,Photo,Red-headed Quelea,Quelea erythrops,,Wim Jacobs,2024-01-27,2024,1,27,637,Benin,BJ-AK,Atakora,,Ottomari valley,10.2020238,1.2019000,"",,Unspecified,"","",,,,,,,S160001902,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,3000,4000
